Type,SKU,Name,Published,Parent,"Is featured?","Visibility in catalog","Short description",Description,"In stock?",Stock,Weight,Length,Width,Height,"Sale price","Regular price",Categories,Images,"Attribute 1 name","Attribute 1 value (s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value (s)","Attribute 2 visible","Attribute 2 global"
variable,MO9552-03,JOGGY,1,,,visible,"Zaino in ripstop","Zaino sportivo pieghevole in poliestere ripstop con apertura anteriore con cerniera, tracolla a rete e custodia rimovibile.",1,8772,"8,65","0,37","0,26","0,51",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Zaini & Viaggi > Borse sportive","https://cdn1.midocean.com/image/700X700/mo9552-03.jpg,https://cdn1.midocean.com/image/700X700/mo9552-03.jpg",Color,"black, red, orange, royal blue, lime",1,1,Size,,1,1
variation,MO9552-05,JOGGY,1,MO9552-03,0,visible,"Zaino in ripstop","Zaino sportivo pieghevole in poliestere ripstop con apertura anteriore con cerniera, tracolla a rete e custodia rimovibile.",1,,"8,65","0,37","0,26","0,51",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Zaini & Viaggi > Borse sportive","https://cdn1.midocean.com/image/700X700/mo9552-03.jpg,https://cdn1.midocean.com/image/700X700/mo9552-03.jpg",Color,red,1,1,Size,,1,1
variation,MO9552-10,JOGGY,1,MO9552-03,0,visible,"Zaino in ripstop","Zaino sportivo pieghevole in poliestere ripstop con apertura anteriore con cerniera, tracolla a rete e custodia rimovibile.",1,2520,"8,65","0,37","0,26","0,51",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Zaini & Viaggi > Borse sportive","https://cdn1.midocean.com/image/700X700/mo9552-03.jpg,https://cdn1.midocean.com/image/700X700/mo9552-03.jpg",Color,orange,1,1,Size,,1,1
variation,MO9552-37,JOGGY,1,MO9552-03,0,visible,"Zaino in ripstop","Zaino sportivo pieghevole in poliestere ripstop con apertura anteriore con cerniera, tracolla a rete e custodia rimovibile.",1,3862,"8,65","0,37","0,26","0,51",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Zaini & Viaggi > Borse sportive","https://cdn1.midocean.com/image/700X700/mo9552-03.jpg,https://cdn1.midocean.com/image/700X700/mo9552-03.jpg",Color,"royal blue",1,1,Size,,1,1
variation,MO9552-48,JOGGY,1,MO9552-03,0,visible,"Zaino in ripstop","Zaino sportivo pieghevole in poliestere ripstop con apertura anteriore con cerniera, tracolla a rete e custodia rimovibile.",1,0,"8,65","0,37","0,26","0,51",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Zaini & Viaggi > Borse sportive","https://cdn1.midocean.com/image/700X700/mo9552-03.jpg,https://cdn1.midocean.com/image/700X700/mo9552-03.jpg",Color,lime,1,1,Size,,1,1
variable,MO9555-05,"DUO BAG",1,,,visible,"Shopper in non woven","Shopper in non woven da 80gr/m². Manici corti.",1,4231,"9,25","0,52","0,395","0,475",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Shopper > Borse Tote","https://cdn1.midocean.com/image/700X700/mo9555-05.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05a.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05-side.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05-detail.jpg",Color,"red, white, orange, royal blue",1,1,Size,,1,1
variation,MO9555-06,"DUO BAG",1,MO9555-05,0,visible,"Shopper in non woven","Shopper in non woven da 80gr/m². Manici corti.",1,0,"9,25","0,52","0,395","0,475",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Shopper > Borse Tote","https://cdn1.midocean.com/image/700X700/mo9555-05.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05a.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05-side.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05-detail.jpg",Color,white,1,1,Size,,1,1
variation,MO9555-10,"DUO BAG",1,MO9555-05,0,visible,"Shopper in non woven","Shopper in non woven da 80gr/m². Manici corti.",1,443,"9,25","0,52","0,395","0,475",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Shopper > Borse Tote","https://cdn1.midocean.com/image/700X700/mo9555-05.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05a.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05-side.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05-detail.jpg",Color,orange,1,1,Size,,1,1
variation,MO9555-37,"DUO BAG",1,MO9555-05,0,visible,"Shopper in non woven","Shopper in non woven da 80gr/m². Manici corti.",1,,"9,25","0,52","0,395","0,475",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Shopper > Borse Tote","https://cdn1.midocean.com/image/700X700/mo9555-05.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05a.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05-side.jpg,https://cdn1.midocean.com/image/700X700/mo9555-05-detail.jpg",Color,"royal blue",1,1,Size,,1,1
variable,MO9556-04,GOMA2,1,,,visible,"Gomma e temperino","Set 2 in 1 gomma e temperino.",1,17826,15,"0,355","0,29","0,375",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Scrittura > Accessori e astucci","https://cdn1.midocean.com/image/700X700/mo9556-04.jpg,https://cdn1.midocean.com/image/700X700/mo9556-04.jpg,https://cdn1.midocean.com/image/700X700/mo9556-04a.jpg",Color,"blue, red, white, green",1,1,Size,,1,1
variation,MO9556-05,GOMA2,1,MO9556-04,0,visible,"Gomma e temperino","Set 2 in 1 gomma e temperino.",1,1217,15,"0,355","0,29","0,375",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Scrittura > Accessori e astucci","https://cdn1.midocean.com/image/700X700/mo9556-04.jpg,https://cdn1.midocean.com/image/700X700/mo9556-04.jpg,https://cdn1.midocean.com/image/700X700/mo9556-04a.jpg",Color,red,1,1,Size,,1,1
variation,MO9556-06,GOMA2,1,MO9556-04,0,visible,"Gomma e temperino","Set 2 in 1 gomma e temperino.",1,1473,15,"0,355","0,29","0,375",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Scrittura > Accessori e astucci","https://cdn1.midocean.com/image/700X700/mo9556-04.jpg,https://cdn1.midocean.com/image/700X700/mo9556-04.jpg,https://cdn1.midocean.com/image/700X700/mo9556-04a.jpg",Color,white,1,1,Size,,1,1
variation,MO9556-09,GOMA2,1,MO9556-04,0,visible,"Gomma e temperino","Set 2 in 1 gomma e temperino.",1,,"10,05","0,34","0,32","0,24",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Scrittura > Accessori e astucci","https://cdn1.midocean.com/image/700X700/mo9556-04.jpg,https://cdn1.midocean.com/image/700X700/mo9556-04.jpg,https://cdn1.midocean.com/image/700X700/mo9556-04a.jpg",Color,green,1,1,Size,,1,1
variable,MO9559-03,"SUBLIM COTTONEL",1,,,visible,"Shopper per sublimazione","Shopper da 105 gsm in polycotone (105 gsm 90/10) con manici lunghi. Adatto per la sublimazione.",1,25643,"12,15","0,47","0,405","0,255",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Shopper > Borse Tote","https://cdn1.midocean.com/image/700X700/mo9559-03.jpg,https://cdn1.midocean.com/image/700X700/mo9559-03.jpg",Color,"black, blue, red, white, yellow, orange, royal blue, lime",1,1,Size,,1,1
variation,MO9559-04,"SUBLIM COTTONEL",1,MO9559-03,0,visible,"Shopper per sublimazione","Shopper da 105 gsm in polycotone (105 gsm 90/10) con manici lunghi. Adatto per la sublimazione.",1,16935,"12,15","0,47","0,405","0,255",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Shopper > Borse Tote","https://cdn1.midocean.com/image/700X700/mo9559-03.jpg,https://cdn1.midocean.com/image/700X700/mo9559-03.jpg",Color,blue,1,1,Size,,1,1
